inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
MZHCENGPTKEIGP-UHFFFAOYSA-N,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,120-36-5,,,algae_growth_ec50,200.0,mg/L,-3.06815811329529,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,144034,2018,1,single,,
GSDSWSVVBLHKDQ-JTQLQIEISA-N,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O.C[C@H]5COc6c(N7CCN(C)CC7)c(F)cc8C(=O)C(=CN5c68)C(O)=O,100986-85-4,,,algae_growth_ec50,29.79932885150268,mg/L,-4.083473661711775,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2180611,2014,2,geomean,1.2499250166657025,high_cv
SUSRORUBZHMPCO-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,42576-02-3,,,algae_growth_ec50,0.0015,mg/L,-8.356645006228977,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2350054,2016,1,single,,
KPUREKXXPHOJQT-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O,104206-82-8,,,algae_growth_ec50,5.620434600788549,mg/L,-4.780482670963857,,Selenastrum capricornutum,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Selenastrum;Selenastrum capricornutum,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2450336,2019,3,geomean,0.3905340439661245,
ASXBYYWOLISCLQ-ZCTIVXDHSA-N,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C@]2(O)CO)O[C@@H]3[C@@H](O)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3N=C(N)N,128-46-1,,,algae_growth_ec50,0.107,mg/L,-6.736494290192542,,Selenastrum capricornutum,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Selenastrum;Selenastrum capricornutum,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2011366,2012,1,single,,
MLKCGVHIFJBRCD-UHFFFAOYSA-N,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,CCOC(=O)C(Cl)Cc1cc(N2N=C(C)N(C(F)F)C2=O)c(F)cc1Cl,128639-02-1,,,algae_growth_ec50,0.0127,mg/L,-7.510076595381249,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2099519,2013,1,single,,
MLUCVPSAIODCQM-IHWYPQMZSA-N,C/C=C\C=O,C\C=C/C=O,4170-30-3,,,algae_growth_ec50,0.597,mg/L,-5.069383369200088,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,793368,2011,1,single,,
LGDSHSYDSCRFAB-UHFFFAOYSA-N,CN=C=S,CN=C=S,556-61-6,,,algae_growth_ec50,0.3,mg/L,-5.38619339594385,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2106581,2013,1,single,,
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,Oc1ccc(cc1)[N+]([O-])=O,100-02-7,,,algae_growth_ec50,4.53,mg/L,-4.487000771413988,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,123421,2011,1,single,,
ISRUGXGCCGIOQO-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1OC(C)C,114-26-1,,,algae_growth_ec50,9.953,mg/L,-4.322410815027065,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,746858,2009,1,single,,
MPPOHAUSNPTFAJ-UHFFFAOYSA-N,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,CC(Oc1ccc(Oc2oc3cc(Cl)ccc3n2)cc1)C(O)=O,113158-40-0,,,algae_growth_ec50,0.00067,mg/L,-8.69642211700384,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2114202,2013,1,single,,
QXJKBPAVAHBARF-UHFFFAOYSA-N,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,CC12CC1(C)C(=O)N(C2=O)c3cc(Cl)cc(Cl)c3,32809-16-8,,,algae_growth_ec50,0.566,mg/L,-5.698995606932188,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,776996,2010,1,single,,
