inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
VGPIBGGRCVEHQZ-UHFFFAOYSA-N,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,,,,2.6989700043360187,3.095445858461085,-4.769262604071828,,-5.195539565268752,,,,,4
SIYLLGKDQZGJHK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,-5.86704743381814,,,,,-6.024170853797841,,-5.211068141367517,-0.049387642150822635,,,,4
DMYHGDXADUDKCQ-UHFFFAOYSA-N,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,,,0.6627578316815741,,3.234149446060218,-7.737779165187356,,-6.303198689467395,,,,,4
INISTDXBRIBGOC-UHFFFAOYSA-N,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,,0.9754318085092629,,,-8.727685811695222,,-8.683519488438108,,,,5.705,4
CABMTIJINOIHOD-UHFFFAOYSA-N,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,,,,1.3447851226326606,3.2522189972220934,,,,1.1169767207087997,,,1.3,4
QTYCMDBMOLSEAM-UHFFFAOYSA-N,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,,,,1.255272505103306,2.983175072037813,-5.292204961935343,,-5.302671915353165,,,,,4
FCOAHACKGGIURQ-UHFFFAOYSA-N,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,,0.94,1.6989700043360187,,,,,,0.28082711598474697,,,2.26,4
KEQGZUUPPQEDPF-UHFFFAOYSA-N,CC1(C)C(=O)N(Cl)C(=O)N1Cl,,,,,3.2342641243787895,-5.550351904038376,,-5.129014498932153,0.4417861309326775,,,,4
QQODLKZGRKWIFG-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,,,-0.3010299956639812,,1.7678976160180906,,,,-0.2051890980061788,,,5.0,4
RLLPVAHGXHCWKJ-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-5.656899094193357,,-1.6020599913279623,,,,,,0.017908035163817976,,,4.8,4
GUQMDNQYMMRJPY-UHFFFAOYSA-N,CC1(C)COCN1,,,,,2.945775697506264,-3.3514701801485782,,-3.1299382139106124,0.973040911364926,,,,4
KIEDNEWSYUYDSN-UHFFFAOYSA-N,CC1(C)CON(Cc2ccccc2Cl)C1=O,,,,1.9308981144101045,3.399673721481038,,,,0.7578759934478885,,,2.44,4
QHMTXANCGGJZRX-WUXMJOGZSA-N,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,,,,,2.3979400086720375,-3.397133289134617,,-3.219495157746897,1.4186886420583122,,,,4
OWZPCEFYPSAJFR-UHFFFAOYSA-N,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,,1.79,1.5594277997594899,,,,,,-0.982406244129692,,,2.7,4
