inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
LYBKPDDZTNUNNM-UHFFFAOYSA-N,CC(C)NCc1ccccc1,CC(C)NCc1ccccc1,102-97-6,,,daphnia_acute_ec50,38.5,mg/L,-3.588076474557129,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,199483,2001,1,single,,
POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,CCCCOCCO,111-76-2,,,daphnia_acute_ec50,1000.0,mg/L,-2.072247616506096,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,247437,2008,1,single,,
NKNFWVNSBIXGLL-UHFFFAOYSA-N,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,CCOC(=O)CSc1nc(nn1C(=O)N(C)C)C(C)(C)C,112143-82-5,,,daphnia_acute_ec50,1.3490737563232038,mg/L,-5.367089289501349,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2111234,2013,2,geomean,1.4139089953284196,high_cv
HSSBORCLYSCBJR-UHFFFAOYSA-N,Nc1cc(Cl)cc(C(=O)O)c1Cl,[NH4+].Nc1cc(Cl)cc(C([O-])=O)c1Cl,1076-46-6,,,daphnia_acute_ec50,1000.0,mg/L,-2.311689736999945,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109051,2013,1,single,,
KWKAKUADMBZCLK-UHFFFAOYSA-N,C=CCCCCCC,CCCCCCC=C,111-66-0,,,daphnia_acute_ec50,6.4807406984078595,mg/L,-4.23807858749692,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,247758,2008,2,geomean,0.10878565864408424,
KGBXLFKZBHKPEV-UHFFFAOYSA-N,OB(O)O,OB(O)O,10043-35-3,,,daphnia_acute_ec50,419.0489231581438,mg/L,-2.1702496969067147,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2116763,2013,2,geomean,0.7769009699577023,high_cv
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1nc[nH]n1,[NH4+].Nc1[nH]ncn1.[S-]C#N,8004-05-5,,,daphnia_acute_ec50,18.0,mg/L,-3.6692321219853543,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,602060,2012,1,single,,
QBPFLULOKWLNNW-UHFFFAOYSA-N,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,117-10-2,,,daphnia_acute_ec50,0.19233385981222,mg/L,-6.096231957473126,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,237848,2007,1,single,,
KMWHQYDMBYABKL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCI,CCCCCCCCCCCCCCCCI,544-77-4,,,daphnia_acute_ec50,0.23257901883016016,mg/L,-6.180172819705028,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,100796,2020,2,geomean,0.0849742054644778,species_secondary
LNDUTAIPEYOCDF-UHFFFAOYSA-N,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6O1,56073-10-0,,,daphnia_acute_ec50,0.98,mg/L,-5.726513523469508,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2102982,2013,1,single,,
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(C(=O)O)cc1,COc1ccc(cc1)C(O)=O,100-09-4,,,daphnia_acute_ec50,943.0,mg/L,-2.207467145778735,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,239700,2007,1,single,,
YCZJVRCZIPDYHH-UHFFFAOYSA-N,CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC,119-06-2,,,daphnia_acute_ec50,0.05,mg/L,-7.0256609486442105,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2657780,2023,1,single,,
NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,Nc1ccncc1,504-24-5,,,daphnia_acute_ec50,3.2,mg/L,-4.468223127845363,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,14969,2017,1,single,,
ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,122-14-5,,,daphnia_acute_ec50,0.010396145563177214,mg/L,-7.42563466591307,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,603826,2012,5,geomean,1.0784410478442985,high_cv
ZXVONLUNISGICL-UHFFFAOYSA-N,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,534-52-1,,,daphnia_acute_ec50,0.6256996084384263,mg/L,-5.500359997214828,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2455559,2019,2,geomean,1.270058225610987,"high_cv,species_secondary"
JRZJOMJEPLMPRA-UHFFFAOYSA-N,C=CCCCCCCC,CCCCCCCC=C,124-11-8,,,daphnia_acute_ec50,3.2,mg/L,-4.595705776823346,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,248033,2008,1,single,,
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,Clc1ccccc1,108-90-7,,,daphnia_acute_ec50,25.7618349032,mg/L,-3.638272163982407,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2806539,2025,1,single,,
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,104-55-2,,,daphnia_acute_ec50,7.05,mg/L,-4.272574003252914,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2104516,2013,1,single,,
JTZCTMAVMHRNTR-UHFFFAOYSA-N,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1c2ccccc2,55512-33-9,,,daphnia_acute_ec50,1.08,mg/L,-5.544202306363823,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2101394,2013,1,single,,
LGYNIFWIKSEESD-UHFFFAOYSA-N,CCCCC(C=O)CC,CCCCC(CC)C=O,123-05-7,,,daphnia_acute_ec50,24.5,mg/L,-3.718451235895514,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2443076,2018,1,single,,
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,OCCOCCOCCO,112-27-6,,,daphnia_acute_ec50,46932.329293061775,mg/L,-0.5048773594153153,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2664169,2023,3,geomean,0.10645133987654284,
NCKMMSIFQUPKCK-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cc1ccccc1,Oc1ccc(Cl)cc1Cc2ccccc2,120-32-1,,,daphnia_acute_ec50,0.59,mg/L,-5.567703765974076,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2107387,2013,1,single,,
MPPOHAUSNPTFAJ-UHFFFAOYSA-N,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,CC(Oc1ccc(Oc2oc3cc(Cl)ccc3n2)cc1)C(O)=O,113158-40-0,,,daphnia_acute_ec50,6.247761545053492,mg/L,-4.7267724740024635,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2102388,2013,3,geomean,1.0038743009940767,high_cv
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,CCC=O,123-38-6,,,daphnia_acute_ec50,125.0,mg/L,-2.666831344316413,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2443062,2018,1,single,,
UOORRWUZONOOLO-UPHRSURJSA-N,Cl/C=C\CCl,ClC\C=C/Cl,542-75-6,,,daphnia_acute_ec50,0.7469939758793239,mg/L,-5.167953198032228,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,602829,2012,2,geomean,1.373743221955423,high_cv
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,CCOCCO,CCOCCO,110-80-5,,,daphnia_acute_ec50,7655.7867626,mg/L,-1.0705810742857071,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2806538,2025,1,single,,
NPWPEPVYKMPDKK-UHFFFAOYSA-N,[O-][Cl+]O,[O-][Cl]=O,10049-04-4,,,daphnia_acute_ec50,1.8,mg/L,-4.577022445406668,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2112193,2013,1,single,,species_secondary
XFDJMIHUAHSGKG-UHFFFAOYSA-N,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,CCO[P](=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,54593-83-8,,,daphnia_acute_ec50,0.00041,mg/L,-8.91082223820616,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2114523,2013,1,single,,
VXPLXMJHHKHSOA-UHFFFAOYSA-N,CC(C)OC(=O)Nc1ccccc1,CC(C)OC(=O)Nc1ccccc1,122-42-9,,,daphnia_acute_ec50,9.000000000000002,mg/L,-4.298840051395521,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,607101,2012,2,geomean,0.14845335737618126,species_secondary
