inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
RMBFBMJGBANMMK-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,121-14-2,,,fish_acute_lc50,31.4338282144142,mg/L,-3.7627522705944614,,Danio rerio,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Danio;Danio rerio,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2445421,2019,52,geomean,1.6421832966696635,high_cv
WGWJBWHBOKETRC-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,CCO[P](=S)(OCC)Oc1ccc(SC)c(C)c1,1716-09-2,Fenthion ethyl,,fish_acute_lc50,10.0,mg/L,-4.485794261348418,,Oncorhynchus tshawytscha,,in_vivo,aquatic,96.0,mortality,EPA Williams Ensemble,Williams et al. (2017),2326002,1984,1,single,,
JQSQHAYDQDDZFG-UHFFFAOYSA-N,N=C(N)N=NNN=C(N)NNN=O,NC(N)=NNN\N=C(/N)N=NN=O,109-27-3,Tetracene,,fish_acute_lc50,38309.72717958751,mg/L,-0.6910526177947309,,Pimephales promelas,,in_vivo,aquatic,96.0,mortality,EPA Williams Ensemble,Williams et al. (2017),2322082,1975,7,geomean,0.5792273221693561,high_cv
SAOKZLXYCUGLFA-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,103-23-1,,,fish_acute_lc50,2.5557058964175354,mg/L,-5.16105258289956,,Danio rerio,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Danio;Danio rerio,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2420015,2018,7,geomean,1.9323503902862098,high_cv
MLGCXEBRWGEOQX-UHFFFAOYSA-N,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,Clc1ccc(cc1)[S](=O)(=O)c2cc(Cl)c(Cl)cc2Cl,116-29-0,,,fish_acute_lc50,1.125466473220142,mg/L,-5.497528685778625,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,607801,2012,16,geomean,0.20997326623942675,
OLQJQHSAWMFDJE-UHFFFAOYSA-N,O=[N+]([O-])C(CO)(CO)CO,OCC(CO)(CO)[N+]([O-])=O,126-11-4,,,fish_acute_lc50,319.5951797283557,mg/L,-2.6745149668854493,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2101222,2013,11,geomean,0.18876518875761392,
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl,127-18-4,,,fish_acute_lc50,13.10577000145569,mg/L,-4.0970512510946335,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,13279,2008,95,geomean,3.4265560662714583,"extreme_variance,high_cv"
DNJRKFKAFWSXSE-UHFFFAOYSA-N,C=COCCCl,ClCCOC=C,110-75-8,,,fish_acute_lc50,350.0,mg/L,-2.481313785174775,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2655649,2023,3,single,,
LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,CCCCCCCCCCCCO,112-53-8,,,fish_acute_lc50,1.01,mg/L,-5.26565449041213,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,74761,2019,3,single,,
YNTJKQDWYXUTLZ-UHFFFAOYSA-N,CC(Oc1cccc(Cl)c1)C(=O)O,[Na+].CC(Oc1cccc(Cl)c1)C([O-])=O,53404-22-1,,,fish_acute_lc50,460.72551481332164,mg/L,-2.637639891277451,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2105087,2013,6,geomean,0.20203050891044216,
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)SCCO1,CC1=C(SCCO1)C(=O)Nc2ccccc2,5234-68-4,,,fish_acute_lc50,3.564835810578544,mg/L,-4.819151577969414,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2107283,2013,24,geomean,0.7018556834914146,high_cv
OWZREIFADZCYQD-IVAAQHKWSA-N,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,52918-63-5,,,fish_acute_lc50,0.001827457763144634,mg/L,-8.439697468997128,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,746113,2009,621,geomean,3.9996262510294707,"extreme_variance,high_cv"
ZRDUSMYWDRPZRM-UHFFFAOYSA-N,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,CCC(C)c1cc(cc(c1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O,485-31-4,,,fish_acute_lc50,0.048232463795407084,mg/L,-6.824673506103276,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,601172,2012,18,geomean,0.42252651227966603,
SUSRORUBZHMPCO-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,42576-02-3,,,fish_acute_lc50,0.220454076850486,mg/L,-6.189418130653511,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2101683,2013,17,geomean,0.2828427124746191,
